,artists,explicit,href,id,name,popularity,album_art,album_release_date,artist_names,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_name,genres,genre
12,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0WfaItAbs4vlgIA1cuqGtJ'}, 'href': 'https://api.spotify.com/v1/artists/0WfaItAbs4vlgIA1cuqGtJ', 'id': '0WfaItAbs4vlgIA1cuqGtJ', 'name': 'Daniela Andrade', 'type': 'artist', 'uri': 'spotify:artist:0WfaItAbs4vlgIA1cuqGtJ'}]",False,https://api.spotify.com/v1/tracks/2hEQRGEAx4YKGh0Kg7djab,2hEQRGEAx4YKGh0Kg7djab,Creep,57,https://i.scdn.co/image/ab67616d0000b273052704ab2b5f408c7263d68c,2013-04-04,Daniela Andrade,0.505,0.198,10,-9.478,1,0.03,0.812,1.41e-05,0.139,0.158,74.866,Your Top Songs 2019,"['canadian contemporary r&b', 'folk-pop']",folk-pop
13,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4phGZZrJZRo4ElhRtViYdl'}, 'href': 'https://api.spotify.com/v1/artists/4phGZZrJZRo4ElhRtViYdl', 'id': '4phGZZrJZRo4ElhRtViYdl', 'name': 'Jason Mraz', 'type': 'artist', 'uri': 'spotify:artist:4phGZZrJZRo4ElhRtViYdl'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/6aZyMrc4doVtZyKNilOmwu'}, 'href': 'https://api.spotify.com/v1/artists/6aZyMrc4doVtZyKNilOmwu', 'id': '6aZyMrc4doVtZyKNilOmwu', 'name': 'Colbie Caillat', 'type': 'artist', 'uri': 'spotify:artist:6aZyMrc4doVtZyKNilOmwu'}]",False,https://api.spotify.com/v1/tracks/0IktbUcnAGrvD03AWnz3Q8,0IktbUcnAGrvD03AWnz3Q8,Lucky,75,https://i.scdn.co/image/ab67616d0000b273160074c4d30216702688437c,2008-05-12,"Jason Mraz, Colbie Caillat",0.623,0.417,0,-8.699,1,0.0354,0.296,0.0,0.135,0.721,130.032,Your Top Songs 2019,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",pop
14,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0jPnVIasXzBYjrlpO5irii'}, 'href': 'https://api.spotify.com/v1/artists/0jPnVIasXzBYjrlpO5irii', 'id': '0jPnVIasXzBYjrlpO5irii', 'name': 'Ingrid Andress', 'type': 'artist', 'uri': 'spotify:artist:0jPnVIasXzBYjrlpO5irii'}]",False,https://api.spotify.com/v1/tracks/33UI8dgfkDOf32DWBH1GL0,33UI8dgfkDOf32DWBH1GL0,Lady Like,56,https://i.scdn.co/image/ab67616d0000b273510db6636f48196db70c91f2,2019-02-22,Ingrid Andress,0.546,0.618,9,-5.186,1,0.0336,0.213,0.0,0.0934,0.154,95.011,Your Top Songs 2019,"['contemporary country', 'country pop']",contemporary country
15,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/25tMQOrIU4LlUo6Sv8v5SE'}, 'href': 'https://api.spotify.com/v1/artists/25tMQOrIU4LlUo6Sv8v5SE', 'id': '25tMQOrIU4LlUo6Sv8v5SE', 'name': 'Gavin James', 'type': 'artist', 'uri': 'spotify:artist:25tMQOrIU4LlUo6Sv8v5SE'}]",False,https://api.spotify.com/v1/tracks/4izE25w6PfpI4eRmzUmeEH,4izE25w6PfpI4eRmzUmeEH,City Of Stars,51,https://i.scdn.co/image/ab67616d0000b273054b8f1e86846fc1e41b59c2,2017-03-17,Gavin James,0.531,0.116,6,-11.157,1,0.0548,0.934,0.0,0.0981,0.176,117.469,Your Top Songs 2019,"['indie cafe pop', 'irish pop', 'neo mellow', 'pop', 'pop rock', 'viral pop']",pop
16,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0hXEo26JJ0u5lD763cTvRW'}, 'href': 'https://api.spotify.com/v1/artists/0hXEo26JJ0u5lD763cTvRW', 'id': '0hXEo26JJ0u5lD763cTvRW', 'name': 'Tsai Chin', 'type': 'artist', 'uri': 'spotify:artist:0hXEo26JJ0u5lD763cTvRW'}]",False,https://api.spotify.com/v1/tracks/5ll6r4NijiGnFq1HuwOeUB,5ll6r4NijiGnFq1HuwOeUB,渡口,27,https://i.scdn.co/image/ab67616d0000b273efd985f5ed8679a4e02c62a1,1996-01-05,Tsai Chin,0.46,0.147,8,-19.637,0,0.0428,0.409,7.57e-05,0.11,0.0655,127.992,Your Top Songs 2019,"['c-pop', 'chinese audiophile', 'classic mandopop', 'taiwan campus folk', 'vintage chinese pop']",c-pop
17,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2WX2uTcsvV5OnS0inACecP'}, 'href': 'https://api.spotify.com/v1/artists/2WX2uTcsvV5OnS0inACecP', 'id': '2WX2uTcsvV5OnS0inACecP', 'name': 'Birdy', 'type': 'artist', 'uri': 'spotify:artist:2WX2uTcsvV5OnS0inACecP'}]",False,https://api.spotify.com/v1/tracks/6vZMx7B4hDTW4QVBx9su0U,6vZMx7B4hDTW4QVBx9su0U,I'll Never Forget You,39,https://i.scdn.co/image/ab67616d0000b273cdebae610076f51e8b7b20f4,2011-11-04,Birdy,0.347,0.181,5,-13.474,1,0.0378,0.986,0.0168,0.105,0.127,79.328,Your Top Songs 2019,"['indie cafe pop', 'pop', 'pop rock']",pop
18,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4GNC7GD6oZMSxPGyXy4MNB'}, 'href': 'https://api.spotify.com/v1/artists/4GNC7GD6oZMSxPGyXy4MNB', 'id': '4GNC7GD6oZMSxPGyXy4MNB', 'name': 'Lewis Capaldi', 'type': 'artist', 'uri': 'spotify:artist:4GNC7GD6oZMSxPGyXy4MNB'}]",False,https://api.spotify.com/v1/tracks/5y0ET06ZzyxDzR4lB4JGhP,5y0ET06ZzyxDzR4lB4JGhP,Bruises,50,https://i.scdn.co/image/ab67616d0000b273f8833bfb3d19ca3489e03cb9,2017-10-20,Lewis Capaldi,0.571,0.259,4,-9.353,1,0.0773,0.961,0.0,0.153,0.378,110.913,Your Top Songs 2019,"['pop', 'uk pop']",pop
19,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2KjAo6wVc9d2WcxdxSArpV'}, 'href': 'https://api.spotify.com/v1/artists/2KjAo6wVc9d2WcxdxSArpV', 'id': '2KjAo6wVc9d2WcxdxSArpV', 'name': 'RY X', 'type': 'artist', 'uri': 'spotify:artist:2KjAo6wVc9d2WcxdxSArpV'}]",False,https://api.spotify.com/v1/tracks/7BSMSvK0WxrDeI98bswYa8,7BSMSvK0WxrDeI98bswYa8,Berlin,59,https://i.scdn.co/image/ab67616d0000b2730c7be6ff33271a9c538189ef,2016-05-06,RY X,0.393,0.0668,7,-20.755,1,0.0404,0.963,0.105,0.107,0.0384,136.938,Your Top Songs 2019,"['indie folk', 'vapor soul']",indie folk
20,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/6oBm8HB0yfrIc9IHbxs6in'}, 'href': 'https://api.spotify.com/v1/artists/6oBm8HB0yfrIc9IHbxs6in', 'id': '6oBm8HB0yfrIc9IHbxs6in', 'name': 'Lykke Li', 'type': 'artist', 'uri': 'spotify:artist:6oBm8HB0yfrIc9IHbxs6in'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4WUGQykLBGFfsl0Qjl6TDM'}, 'href': 'https://api.spotify.com/v1/artists/4WUGQykLBGFfsl0Qjl6TDM', 'id': '4WUGQykLBGFfsl0Qjl6TDM', 'name': 'The Magician', 'type': 'artist', 'uri': 'spotify:artist:4WUGQykLBGFfsl0Qjl6TDM'}]",False,https://api.spotify.com/v1/tracks/4Jv7lweGIUOFQ7Oq2AtAh9,4Jv7lweGIUOFQ7Oq2AtAh9,I Follow Rivers - The Magician Remix,72,https://i.scdn.co/image/ab67616d0000b2734511aa630a2b1b289ef313bb,2011-10-10,"Lykke Li, The Magician",0.786,0.696,9,-5.796,0,0.0428,0.0234,0.0019,0.0839,0.306,121.974,Your Top Songs 2019,"['art pop', 'dance pop', 'electropop', 'pop', 'swedish electropop', 'swedish indie pop', 'swedish pop']",pop
21,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4IWBUUAFIplrNtaOHcJPRM'}, 'href': 'https://api.spotify.com/v1/artists/4IWBUUAFIplrNtaOHcJPRM', 'id': '4IWBUUAFIplrNtaOHcJPRM', 'name': 'James Arthur', 'type': 'artist', 'uri': 'spotify:artist:4IWBUUAFIplrNtaOHcJPRM'}]",False,https://api.spotify.com/v1/tracks/15xWRPHQMeqgdkGzInx3PY,15xWRPHQMeqgdkGzInx3PY,Falling Like The Stars,76,https://i.scdn.co/image/ab67616d0000b273287581424579344780ccdc66,2019-05-10,James Arthur,0.296,0.351,6,-9.538,1,0.0352,0.823,1.45e-06,0.11,0.19,177.06,Your Top Songs 2019,"['pop', 'post-teen pop', 'talent show', 'uk pop']",pop
