,artists,explicit,href,id,name,popularity,album_art,album_release_date,artist_names
54,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/56NSAhpJRoeaGi5uyUdYlI'}, 'href': 'https://api.spotify.com/v1/artists/56NSAhpJRoeaGi5uyUdYlI', 'id': '56NSAhpJRoeaGi5uyUdYlI', 'name': 'George Ogilvie', 'type': 'artist', 'uri': 'spotify:artist:56NSAhpJRoeaGi5uyUdYlI'}]",False,https://api.spotify.com/v1/tracks/4jUDqSD6HRCQAFbhWK0yud,4jUDqSD6HRCQAFbhWK0yud,IIWII,46,https://i.scdn.co/image/ab67616d0000b2733dccd1b879675ac0ded236be,2020-04-17,George Ogilvie
55,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0WJc0VDtzsLIk33XRB20Dy'}, 'href': 'https://api.spotify.com/v1/artists/0WJc0VDtzsLIk33XRB20Dy', 'id': '0WJc0VDtzsLIk33XRB20Dy', 'name': 'Fionn Regan', 'type': 'artist', 'uri': 'spotify:artist:0WJc0VDtzsLIk33XRB20Dy'}]",False,https://api.spotify.com/v1/tracks/4W5gTdnD0ONxtRaKunsGlI,4W5gTdnD0ONxtRaKunsGlI,Collar of Fur,43,https://i.scdn.co/image/ab67616d0000b2730ca36e85e7b7dbc7dea80dc1,2019-07-12,Fionn Regan
56,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0rZp7G3gIH6WkyeXbrZnGi'}, 'href': 'https://api.spotify.com/v1/artists/0rZp7G3gIH6WkyeXbrZnGi', 'id': '0rZp7G3gIH6WkyeXbrZnGi', 'name': 'Novo Amor', 'type': 'artist', 'uri': 'spotify:artist:0rZp7G3gIH6WkyeXbrZnGi'}]",False,https://api.spotify.com/v1/tracks/1uliNs1keVwYclj74JX44R,1uliNs1keVwYclj74JX44R,Decimal,55,https://i.scdn.co/image/ab67616d0000b273402890963386e03ceeabdf35,2020-06-26,Novo Amor
57,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/1zkKkDDra0jlsiJYz57P3P'}, 'href': 'https://api.spotify.com/v1/artists/1zkKkDDra0jlsiJYz57P3P', 'id': '1zkKkDDra0jlsiJYz57P3P', 'name': 'Mustafa', 'type': 'artist', 'uri': 'spotify:artist:1zkKkDDra0jlsiJYz57P3P'}]",False,https://api.spotify.com/v1/tracks/4XD7sfXwdU4LVQ1CQDD3ZT,4XD7sfXwdU4LVQ1CQDD3ZT,Air Forces,3,https://i.scdn.co/image/ab67616d0000b273723466838f3034aca03d700c,2020-09-21,Mustafa
58,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/4nljnlPiswjFIoVpLGn8Wc'}, 'href': 'https://api.spotify.com/v1/artists/4nljnlPiswjFIoVpLGn8Wc', 'id': '4nljnlPiswjFIoVpLGn8Wc', 'name': 'MishCatt', 'type': 'artist', 'uri': 'spotify:artist:4nljnlPiswjFIoVpLGn8Wc'}]",False,https://api.spotify.com/v1/tracks/5EDuUGbmpvQKGZX1XPxje0,5EDuUGbmpvQKGZX1XPxje0,Midnight Sun - Acoustic Version,47,https://i.scdn.co/image/ab67616d0000b27383c473b6bb6940ea9b67e5fc,2020-03-13,MishCatt
59,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/502gYHkFCtLzBIcU4ctPLd'}, 'href': 'https://api.spotify.com/v1/artists/502gYHkFCtLzBIcU4ctPLd', 'id': '502gYHkFCtLzBIcU4ctPLd', 'name': 'Zeph', 'type': 'artist', 'uri': 'spotify:artist:502gYHkFCtLzBIcU4ctPLd'}]",False,https://api.spotify.com/v1/tracks/3LvJ7Dj8WsWu7RufNvbOYe,3LvJ7Dj8WsWu7RufNvbOYe,Lucky,51,https://i.scdn.co/image/ab67616d0000b273b2732658f1bbf0fa8b1dd37d,2020-04-18,Zeph
60,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/26GHRG8x1F4AzbCKzUaIbw'}, 'href': 'https://api.spotify.com/v1/artists/26GHRG8x1F4AzbCKzUaIbw', 'id': '26GHRG8x1F4AzbCKzUaIbw', 'name': 'Aquilo', 'type': 'artist', 'uri': 'spotify:artist:26GHRG8x1F4AzbCKzUaIbw'}]",True,https://api.spotify.com/v1/tracks/2lQv5l2Bmf7hYyYwjNe2lC,2lQv5l2Bmf7hYyYwjNe2lC,Sober,56,https://i.scdn.co/image/ab67616d0000b27347c1382670830163b8d90f0d,2020-03-04,Aquilo
61,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/39vA9YljbnOApXKniLWBZv'}, 'href': 'https://api.spotify.com/v1/artists/39vA9YljbnOApXKniLWBZv', 'id': '39vA9YljbnOApXKniLWBZv', 'name': 'Sylvan Esso', 'type': 'artist', 'uri': 'spotify:artist:39vA9YljbnOApXKniLWBZv'}]",False,https://api.spotify.com/v1/tracks/09nICyZRZmkTaus974Ruro,09nICyZRZmkTaus974Ruro,Rooftop Dancing,42,https://i.scdn.co/image/ab67616d0000b273cbeca5186241bf5c9e02236f,2020-09-10,Sylvan Esso
62,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/52HjDHLlkCYt5Pemr9wefL'}, 'href': 'https://api.spotify.com/v1/artists/52HjDHLlkCYt5Pemr9wefL', 'id': '52HjDHLlkCYt5Pemr9wefL', 'name': 'Anna Mieke', 'type': 'artist', 'uri': 'spotify:artist:52HjDHLlkCYt5Pemr9wefL'}]",False,https://api.spotify.com/v1/tracks/0C0ESa1ZZ5taXaYUxwnvx9,0C0ESa1ZZ5taXaYUxwnvx9,Warped Window,3,https://i.scdn.co/image/ab67616d0000b27374719cdf319272a3172f1bfc,2019-04-26,Anna Mieke
63,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/2Tju7nLsAMD6RTBna56hj6'}, 'href': 'https://api.spotify.com/v1/artists/2Tju7nLsAMD6RTBna56hj6', 'id': '2Tju7nLsAMD6RTBna56hj6', 'name': 'Ayoni', 'type': 'artist', 'uri': 'spotify:artist:2Tju7nLsAMD6RTBna56hj6'}]",True,https://api.spotify.com/v1/tracks/2zmLkPOV4Y3NTwh5P6gM51,2zmLkPOV4Y3NTwh5P6gM51,Unmoved (A Black Woman Truth),48,https://i.scdn.co/image/ab67616d0000b2736fbc2ad75f8cbbaf77469833,2020-06-30,Ayoni
64,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3dL6tboQBwjaIWIxNldpFR'}, 'href': 'https://api.spotify.com/v1/artists/3dL6tboQBwjaIWIxNldpFR', 'id': '3dL6tboQBwjaIWIxNldpFR', 'name': 'Riun Garner', 'type': 'artist', 'uri': 'spotify:artist:3dL6tboQBwjaIWIxNldpFR'}]",False,https://api.spotify.com/v1/tracks/0S2QpfocV5nPaNkvRHOQxU,0S2QpfocV5nPaNkvRHOQxU,Wrote Myself Off,41,https://i.scdn.co/image/ab67616d0000b273c2da60bff03e62d6e69c4e42,2020-06-19,Riun Garner
65,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/0N8tTwUhQQD75uLOyqhfVU'}, 'href': 'https://api.spotify.com/v1/artists/0N8tTwUhQQD75uLOyqhfVU', 'id': '0N8tTwUhQQD75uLOyqhfVU', 'name': 'Bryde', 'type': 'artist', 'uri': 'spotify:artist:0N8tTwUhQQD75uLOyqhfVU'}]",False,https://api.spotify.com/v1/tracks/6oC5plx3NSkoOog8SBcQlK,6oC5plx3NSkoOog8SBcQlK,The Volume of Things,40,https://i.scdn.co/image/ab67616d0000b27323de33c72e88ff2abd03d15f,2020-05-29,Bryde
66,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/53mpvc3wWbaO6a7LKWQ73N'}, 'href': 'https://api.spotify.com/v1/artists/53mpvc3wWbaO6a7LKWQ73N', 'id': '53mpvc3wWbaO6a7LKWQ73N', 'name': 'Will Killen', 'type': 'artist', 'uri': 'spotify:artist:53mpvc3wWbaO6a7LKWQ73N'}]",False,https://api.spotify.com/v1/tracks/4PWoINZ6EgkEIGXdtNfOUm,4PWoINZ6EgkEIGXdtNfOUm,The Outside,43,https://i.scdn.co/image/ab67616d0000b27339838186d28c48fa677e7823,2020-04-29,Will Killen
67,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/69sFt37arbuC0hGSFAoWqZ'}, 'href': 'https://api.spotify.com/v1/artists/69sFt37arbuC0hGSFAoWqZ', 'id': '69sFt37arbuC0hGSFAoWqZ', 'name': 'The Last Dinosaur', 'type': 'artist', 'uri': 'spotify:artist:69sFt37arbuC0hGSFAoWqZ'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4t6FYLW8R53UEGbdqLbj6B'}, 'href': 'https://api.spotify.com/v1/artists/4t6FYLW8R53UEGbdqLbj6B', 'id': '4t6FYLW8R53UEGbdqLbj6B', 'name': 'Amy Acre', 'type': 'artist', 'uri': 'spotify:artist:4t6FYLW8R53UEGbdqLbj6B'}]",False,https://api.spotify.com/v1/tracks/6z1nDvJo9KnIha8QUMfquF,6z1nDvJo9KnIha8QUMfquF,In the Belly of a Whale,40,https://i.scdn.co/image/ab67616d0000b273b554f2824e3b7d9bd2ecc1b3,2020-10-23,"The Last Dinosaur, Amy Acre"
68,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/02U4dXZhGSo07f66l8JZ91'}, 'href': 'https://api.spotify.com/v1/artists/02U4dXZhGSo07f66l8JZ91', 'id': '02U4dXZhGSo07f66l8JZ91', 'name': 'Tom Speight', 'type': 'artist', 'uri': 'spotify:artist:02U4dXZhGSo07f66l8JZ91'}, {'external_urls': {'spotify': 'https://open.spotify.com/artist/4KNIAGw8aeV4ZgMxzjqkeH'}, 'href': 'https://api.spotify.com/v1/artists/4KNIAGw8aeV4ZgMxzjqkeH', 'id': '4KNIAGw8aeV4ZgMxzjqkeH', 'name': 'Lydia Clowes', 'type': 'artist', 'uri': 'spotify:artist:4KNIAGw8aeV4ZgMxzjqkeH'}]",False,https://api.spotify.com/v1/tracks/4kG6Rt94q7eJaikOFrqsTn,4kG6Rt94q7eJaikOFrqsTn,Save Tonight,58,https://i.scdn.co/image/ab67616d0000b273ea789042baeb5f4c3ad27bdc,2020-02-07,"Tom Speight, Lydia Clowes"
69,"[{'external_urls': {'spotify': 'https://open.spotify.com/artist/3PUWvoriT2SsLIO4YcTjyy'}, 'href': 'https://api.spotify.com/v1/artists/3PUWvoriT2SsLIO4YcTjyy', 'id': '3PUWvoriT2SsLIO4YcTjyy', 'name': 'Hailaker', 'type': 'artist', 'uri': 'spotify:artist:3PUWvoriT2SsLIO4YcTjyy'}]",False,https://api.spotify.com/v1/tracks/3NiHTiVcdXUPjAiFoqQ3nQ,3NiHTiVcdXUPjAiFoqQ3nQ,Wild,0,https://i.scdn.co/image/ab67616d0000b2730f5c6d13ee8392e98ede6c88,2020-04-10,Hailaker
